flux,experiment,MAE,MBE,nSD,R,5th,95th,RMSE,cRMSE,AMBE,1-nSD,1-R,nSkewness,nKurtosis,Overlap,site,model
LWup,detailed,10.9274,9.92429,1.04682,0.989869,13.364,21.4211,13.8808,0.15298,9.92429,0.0468232,0.0101307,3.15013,0.126473,0.0903046,KR-Ochang,CLMU5
Qle,baseline,30.0172,8.698,1.13068,0.681716,3.39184,34.308,48.2858,0.858388,8.698,0.130676,0.318284,0.220401,0.636266,0.202663,KR-Ochang,CLMU5
Qle,detailed,28.1027,6.25653,1.14963,0.697636,2.88037,34.643,47.288,0.847117,6.25653,0.149633,0.302364,0.238223,0.689011,0.239123,KR-Ochang,CLMU5
Qh,baseline,26.6648,15.4966,0.95271,0.872887,8.76547,8.1492,36.618,0.49441,15.4966,0.0472889,0.127113,0.184272,0.455543,0.359608,KR-Ochang,CLMU5
Qh,detailed,25.6868,4.94398,0.766731,0.850709,8.88456,28.8526,36.0607,0.532304,4.94398,0.233269,0.149291,0.13685,0.307398,0.383407,KR-Ochang,CLMU5
SWup,baseline,28.0146,26.2177,1.94887,0.964911,2.64193,88.8329,40.5,1.01839,26.2177,0.948871,0.0350894,1.97865,0.350701,0.237065,MX-Escandon,CLMU5
SWup,detailed,4.92041,-1.59881,1.09722,0.983121,2.81835,6.37945,6.72833,0.215617,1.59881,0.0972186,0.0168787,0.629606,0.00796199,0.146481,MX-Escandon,CLMU5
LWup,baseline,,,,,,,,,,,,,,,MX-Escandon,CLMU5
LWup,detailed,,,,,,,,,,,,,,,MX-Escandon,CLMU5
Qle,baseline,26.9912,-18.8197,0.617405,0.28533,2.9,53.7571,41.4614,1.01433,18.8197,0.382595,0.71467,1.38887,2.87714,0.45828,MX-Escandon,CLMU5
Qle,detailed,28.0982,-18.4119,0.83556,0.289299,2.9,61.5027,44.1634,1.10214,18.4119,0.164441,0.710701,2.01922,4.82932,0.446822,MX-Escandon,CLMU5
Qh,baseline,36.3157,-13.1586,0.716062,0.733273,4.48901,51.9981,54.486,0.680152,13.1586,0.283937,0.266727,0.144397,1.20625,0.266886,MX-Escandon,CLMU5
Qh,detailed,42.0436,7.64866,1.49713,0.844509,12.2541,108.692,66.0722,0.844227,7.64866,0.497131,0.155491,0.0851091,0.0167353,0.403403,MX-Escandon,CLMU5
